C0018923	http://purl.obolibrary.org/obo/DOID_0001816
C0854893	http://purl.obolibrary.org/obo/DOID_0001816
C0033999	http://purl.obolibrary.org/obo/DOID_0002116
C0025517	http://purl.obolibrary.org/obo/DOID_0014667
C0004058	http://purl.obolibrary.org/obo/DOID_0040002
C0571411	http://purl.obolibrary.org/obo/DOID_0040003
C0571417	http://purl.obolibrary.org/obo/DOID_0040004
C0571463	http://purl.obolibrary.org/obo/DOID_0040005
C0570787	http://purl.obolibrary.org/obo/DOID_0040006
C0570646	http://purl.obolibrary.org/obo/DOID_0040009
C0570785	http://purl.obolibrary.org/obo/DOID_0040011
C0570789	http://purl.obolibrary.org/obo/DOID_0040012
C0570577	http://purl.obolibrary.org/obo/DOID_0040013
C0038757	http://purl.obolibrary.org/obo/DOID_0040015
C0570633	http://purl.obolibrary.org/obo/DOID_0040018
C0571922	http://purl.obolibrary.org/obo/DOID_0040019
C0571457	http://purl.obolibrary.org/obo/DOID_0040020
C0571444	http://purl.obolibrary.org/obo/DOID_0040021
C0571303	http://purl.obolibrary.org/obo/DOID_0040022
C0571453	http://purl.obolibrary.org/obo/DOID_0040023
C0571458	http://purl.obolibrary.org/obo/DOID_0040024
C0571454	http://purl.obolibrary.org/obo/DOID_0040025
C0571344	http://purl.obolibrary.org/obo/DOID_0040026
C0570670	http://purl.obolibrary.org/obo/DOID_0040027
C0571140	http://purl.obolibrary.org/obo/DOID_0040028
C0571390	http://purl.obolibrary.org/obo/DOID_0040029
C0571460	http://purl.obolibrary.org/obo/DOID_0040030
C0570540	http://purl.obolibrary.org/obo/DOID_0040031
C0571443	http://purl.obolibrary.org/obo/DOID_0040032
C0571427	http://purl.obolibrary.org/obo/DOID_0040033
C0571149	http://purl.obolibrary.org/obo/DOID_0040034
C0570587	http://purl.obolibrary.org/obo/DOID_0040035
C0571147	http://purl.obolibrary.org/obo/DOID_0040036
C0571476	http://purl.obolibrary.org/obo/DOID_0040037
C0571102	http://purl.obolibrary.org/obo/DOID_0040057
C0570547	http://purl.obolibrary.org/obo/DOID_0040060
C0571881	http://purl.obolibrary.org/obo/DOID_0040065
C0570673	http://purl.obolibrary.org/obo/DOID_0040066
C1443961	http://purl.obolibrary.org/obo/DOID_0040067
C0571504	http://purl.obolibrary.org/obo/DOID_0040070
C0571155	http://purl.obolibrary.org/obo/DOID_0040071
C0571339	http://purl.obolibrary.org/obo/DOID_0040074
C0571482	http://purl.obolibrary.org/obo/DOID_0040076
C0571145	http://purl.obolibrary.org/obo/DOID_0040078
C1697878	http://purl.obolibrary.org/obo/DOID_0040086
C2609129	http://purl.obolibrary.org/obo/DOID_0040091
C0409675	http://purl.obolibrary.org/obo/DOID_0040092
C0263591	http://purl.obolibrary.org/obo/DOID_0040093
C1328843	http://purl.obolibrary.org/obo/DOID_0040097
C0854359	http://purl.obolibrary.org/obo/DOID_0040100
C0578661	http://purl.obolibrary.org/obo/DOID_0050004;http://purl.obolibrary.org/obo/DOID_10400
C0001485	http://purl.obolibrary.org/obo/DOID_0050117
C0014053	http://purl.obolibrary.org/obo/DOID_0050118
C0024291	http://purl.obolibrary.org/obo/DOID_0050120
C0149512	http://purl.obolibrary.org/obo/DOID_0050127
C0031898	http://purl.obolibrary.org/obo/DOID_0050133;http://purl.obolibrary.org/obo/DOID_12711;http://purl.obolibrary.org/obo/DOID_13902
C2980104	http://purl.obolibrary.org/obo/DOID_0050133
C0396023	http://purl.obolibrary.org/obo/DOID_0050145
C0155811	http://purl.obolibrary.org/obo/DOID_0050148
C0155837	http://purl.obolibrary.org/obo/DOID_0050148
